A,B,freq,genericity,Class
cohérence,dispositions,50,9.004228455,drop
projet,professionnel,50,9.004228455,drop
aller,loin,50,9.004228455,drop
logement,locatif,50,9.004228455,theme
objet,étendre,50,9.004228455,drop
compétence,gemapi,50,9.004228455,drop
public,administration,50,9.004228455,drop
égalité,impôt,50,9.004228455,theme
plan,investissement,50,9.004228455,drop
état,français,50,9.004228455,drop
dispositifs,planification,50,9.004228455,drop
intérêt,public,50,9.004228455,drop
règles,droit,50,9.004228455,drop
mise,conformité,49,9.024431163,drop
sociale,familles,49,9.024431163,drop
conditions,prévues,49,9.024431163,drop
amendement,adopté,49,9.024431163,drop
courte,durée,49,9.024431163,drop
équilibre,économique,49,9.024431163,drop
développement,compétences,49,9.024431163,drop
dépenses,fonctionnement,49,9.024431163,theme
locaux,professionnels,49,9.024431163,theme
article,présente,49,9.024431163,drop
substitution,office,49,9.024431163,drop
membres,famille,49,9.024431163,drop
cycle,vie,49,9.024431163,drop
commercialisation,produits,49,9.024431163,drop
placement,rétention,49,9.024431163,theme
amendement,gouvernement,49,9.024431163,drop
réduction,émissions,49,9.024431163,theme
mars,relative,49,9.024431163,drop
autorité,transparence,49,9.024431163,actor
permet,assurer,49,9.024431163,intention
prendre,charge,49,9.024431163,drop
énergie,renouvelable,49,9.024431163,theme
agences,eau,49,9.024431163,actor
garantir,respect,49,9.024431163,intention
parlement,rapport,49,9.024431163,intention
encadrement,loyers,49,9.024431163,theme
liberté,entreprendre,49,9.024431163,theme
dépenses,fiscales,49,9.024431163,theme
obligation,information,48,9.04505045,theme
fruits,légumes,48,9.04505045,theme
âge,ans,48,9.04505045,drop
dispositions,projet,48,9.04505045,drop
qualité,service,48,9.04505045,theme
cadre,loi,48,9.04505045,drop
mesures,prises,48,9.04505045,drop
collectivité,corse,48,9.04505045,actor
délivrance,autorisations,48,9.04505045,drop
pouvoir,bénéficier,48,9.04505045,drop
faire,valoir,48,9.04505045,drop
éducation,nationale,48,9.04505045,theme
personnes,vulnérables,48,9.04505045,theme
local,urbanisme,48,9.04505045,theme
exploitation,commerciale,48,9.04505045,theme
évolution,professionnelle,48,9.04505045,theme
rupture,égalité,48,9.04505045,theme
victimes,violences,48,9.04505045,theme
jurisprudence,conseil,48,9.04505045,actor
or,article,48,9.04505045,drop
précarité,alimentaire,48,9.04505045,theme
erreur,référence,47,9.066103859,drop
lieu,place,47,9.066103859,drop
loi,état,47,9.066103859,drop
décret,n,47,9.066103859,drop
régime,applicable,47,9.066103859,drop
immobilisations,industrielles,47,9.066103859,drop
effets,aubaine,47,9.066103859,drop
vise,maintenir,47,9.066103859,intention
vie,économique,47,9.066103859,drop
règlement,ue,47,9.066103859,actor
cadre,procédure,47,9.066103859,drop
code,santé,47,9.066103859,support
convient,permettre,47,9.066103859,drop
établissements,scolaires,47,9.066103859,theme
compte,spécificités,47,9.066103859,intention
personnes,publiques,47,9.066103859,theme
convient,prévoir,47,9.066103859,drop
précision,juridique,47,9.066103859,intention
réseaux,mobiles,47,9.066103859,theme
principes,constitutionnels,47,9.066103859,actor
vise,modifier,47,9.066103859,intention
enquête,publique,47,9.066103859,actor
application,dispositif,46,9.087610064,drop
article,quater,46,9.087610064,drop
commune,nouvelle,46,9.087610064,theme
fassent,objet,46,9.087610064,drop
déjà,prévu,46,9.087610064,drop
parties,communes,46,9.087610064,drop
autorités,organisatrices,46,9.087610064,drop
appel,offres,46,9.087610064,drop
loi,octobre,46,9.087610064,drop
prévu,loi,46,9.087610064,drop
droit,travail,46,9.087610064,actor
cotisation,foncière,46,9.087610064,theme
avenir,professionnel,46,9.087610064,theme
transparence,lutte,46,9.087610064,drop
lutte,corruption,46,9.087610064,theme
demande,permis,46,9.087610064,drop
reste,charge,46,9.087610064,drop
bilan,compétences,46,9.087610064,theme
demande,gouvernement,46,9.087610064,drop
matière,politique,46,9.087610064,drop
restaurants,collectifs,46,9.087610064,theme
porteur,projet,46,9.087610064,drop
issus,agriculture,46,9.087610064,theme
réaliser,travaux,46,9.087610064,drop
détermination,prix,46,9.087610064,drop
hommes,femmes,46,9.087610064,drop
respect,règles,46,9.087610064,drop
mélange,miels,46,9.087610064,theme
offre,demande,46,9.087610064,drop
droits,libertés,46,9.087610064,theme
chambres,consulaires,46,9.087610064,actor
dispositif,pinel,46,9.087610064,theme
finances,prévoit,46,9.087610064,drop
assurer,bonne,45,9.109588971,drop
autorités,compétentes,45,9.109588971,actor
enfin,amendement,45,9.109588971,drop
publics,privés,45,9.109588971,drop
contrat,durée,45,9.109588971,drop
impôt,transition,45,9.109588971,theme
assemblée,générale,45,9.109588971,drop
corruption,modernisation,45,9.109588971,theme
modernisation,vie,45,9.109588971,theme
moyennes,entreprises,45,9.109588971,theme
pays,tiers,45,9.109588971,theme
mutuelles,étudiantes,45,9.109588971,theme
lutte,habitat,45,9.109588971,theme
communes,intercommunalités,45,9.109588971,theme
temps,nécessaire,45,9.109588971,drop
aide,alimentaire,45,9.109588971,theme
membres,union,45,9.109588971,drop
évaluation,environnementale,45,9.109588971,theme
grand,public,45,9.109588971,drop
énergies,fossiles,45,9.109588971,theme
vise,inscrire,45,9.109588971,intention
foncière,propriétés,45,9.109588971,theme
propriétés,bâties,45,9.109588971,theme
compte,situation,45,9.109588971,theme
affaires,économiques,45,9.109588971,theme
téléphonie,mobile,45,9.109588971,theme
article,rédaction,45,9.109588971,drop
programmation,finances,45,9.109588971,theme
dispositions,loi,45,9.109588971,drop
paradis,fiscaux,45,9.109588971,theme
partie,civile,45,9.109588971,drop
procureur,république,44,9.132061827,actor
bureau,assemblée,44,9.132061827,actor
proposition,amendement,44,9.132061827,drop
amendement,souhaitons,44,9.132061827,drop
parc,locatif,44,9.132061827,theme
professions,libérales,44,9.132061827,theme
avis,défavorable,44,9.132061827,intention
fonds,péréquation,44,9.132061827,theme
laisser,temps,44,9.132061827,drop
libre,administration,44,9.132061827,drop
protéines,végétales,44,9.132061827,theme
amendement,procède,44,9.132061827,drop
qualité,origine,44,9.132061827,theme
favoriser,développement,44,9.132061827,drop
supérieur,euros,44,9.132061827,drop
état,santé,44,9.132061827,theme
biens,immobiliers,44,9.132061827,theme
droit,propriété,44,9.132061827,theme
conseil,supérieur,44,9.132061827,actor
qualité,air,44,9.132061827,theme
société,civile,44,9.132061827,actor
soutien,investissement,44,9.132061827,drop
objet,supprimer,44,9.132061827,intention
engagements,pris,44,9.132061827,drop
programme,national,44,9.132061827,drop
prochaines,années,44,9.132061827,drop
mise,marché,44,9.132061827,drop
négociation,collective,43,9.155051345,theme
informatique,libertés,43,9.155051345,theme
droits,femmes,43,9.155051345,theme
relative,égalité,43,9.155051345,theme
élargir,champ,43,9.155051345,drop
rapporteur,général,43,9.155051345,drop
privée,familiale,43,9.155051345,drop
métiers,artisanat,43,9.155051345,theme
foncière,entreprises,43,9.155051345,theme
économie,circulaire,43,9.155051345,theme
actuellement,vigueur,43,9.155051345,drop
vise,corriger,43,9.155051345,intention
réseaux,sociaux,43,9.155051345,theme
millions,personnes,43,9.155051345,drop
construction,prix,43,9.155051345,drop
intercommunale,fiscalité,43,9.155051345,theme
sécurité,sanitaire,43,9.155051345,theme
formation,initiale,43,9.155051345,drop
amendement,permettra,43,9.155051345,intention
fondement,article,43,9.155051345,drop
fonds,national,43,9.155051345,theme
défini,article,43,9.155051345,drop
site,internet,43,9.155051345,drop
règles,applicables,43,9.155051345,drop
demande,logements,43,9.155051345,theme
article,relatif,43,9.155051345,drop
prélèvements,sociaux,43,9.155051345,theme
prend,compte,43,9.155051345,drop
difficultés,rencontrées,43,9.155051345,drop
déploiement,réseaux,43,9.155051345,drop
visées,article,43,9.155051345,drop
euros,millions,43,9.155051345,theme
contribuer,financement,43,9.155051345,intention
groupements,politiques,43,9.155051345,actor
conditions,générales,43,9.155051345,drop
conseil,départemental,42,9.178581843,actor
code,monétaire,42,9.178581843,support
monétaire,financier,42,9.178581843,drop
sociale,solidaire,42,9.178581843,theme
période,transitoire,42,9.178581843,drop
commun,urbanisme,42,9.178581843,theme
emmanuel,macron,42,9.178581843,actor
économique,social,42,9.178581843,drop
agence,française,42,9.178581843,actor
tient,compte,42,9.178581843,drop
volonté,gouvernement,42,9.178581843,actor
article,plf,42,9.178581843,drop
intercommunale,epci,42,9.178581843,theme
égalité,professionnelle,42,9.178581843,theme
vigueur,loi,42,9.178581843,drop
coût,production,42,9.178581843,drop
proposé,gouvernement,42,9.178581843,actor
semble,nécessaire,42,9.178581843,drop
vise,interdire,42,9.178581843,intention
déjà,prévue,42,9.178581843,drop
exercice,mandat,42,9.178581843,theme
organisme,hlm,42,9.178581843,actor
prévoit,article,42,9.178581843,drop
conseil,évolution,42,9.178581843,drop
nouvelles,compétences,42,9.178581843,drop
agriculture,française,42,9.178581843,theme
habitat,inclusif,42,9.178581843,theme
acquisition,matériaux,42,9.178581843,drop
quartiers,prioritaires,41,9.202679394,theme
prévue,présent,41,9.202679394,drop
mission,information,41,9.202679394,drop
haut,niveau,41,9.202679394,drop
plateformes,ligne,41,9.202679394,theme
valeur,constitutionnel,41,9.202679394,drop
sécurité,publique,41,9.202679394,theme
économie,sociale,41,9.202679394,theme
durée,déterminée,41,9.202679394,theme
règles,relatives,41,9.202679394,drop
vise,part,41,9.202679394,intention
situées,zone,41,9.202679394,drop
centre,national,41,9.202679394,drop
dépense,publique,41,9.202679394,theme
rédaction,proposée,41,9.202679394,drop
communes,concernées,41,9.202679394,drop
prévus,article,41,9.202679394,drop
indicateurs,utilisés,41,9.202679394,drop
vise,favoriser,41,9.202679394,intention
développement,sport,41,9.202679394,theme
sécurisation,parcours,41,9.202679394,theme
communes,établissements,41,9.202679394,drop
objectif,permettre,41,9.202679394,drop
ressources,humaines,41,9.202679394,theme
démarches,administratives,41,9.202679394,theme
solutions,alternatives,41,9.202679394,drop
mauvaise,foi,41,9.202679394,drop
situation,précarité,41,9.202679394,drop
longue,durée,41,9.202679394,drop
avis,mars,41,9.202679394,drop
période,ans,41,9.202679394,drop
prévoit,notamment,41,9.202679394,drop
permet,garantir,41,9.202679394,drop
concertation,préalable,41,9.202679394,drop
petites,communes,41,9.202679394,actor
droit,information,41,9.202679394,theme
complémentaire,obligatoire,41,9.202679394,drop
vie,politique,41,9.202679394,theme
conseil,général,41,9.202679394,actor
journal,officiel,41,9.202679394,drop
répondre,enjeux,41,9.202679394,drop
énergétique,logements,41,9.202679394,theme
organisations,interprofessionnelles,41,9.202679394,actor
supprimer,alinéa,41,9.202679394,drop
cas,cas,41,9.202679394,drop
aménagement,développement,41,9.202679394,theme
suivants,code,41,9.202679394,drop
lutte,évasion,41,9.202679394,theme
permet,éviter,41,9.202679394,drop
concours,financiers,41,9.202679394,drop
abusivement,bas,41,9.202679394,drop
matériaux,isolation,41,9.202679394,theme
cohésion,territoires,41,9.202679394,theme
y,ait,40,9.227372007,drop
exerçant,activité,40,9.227372007,drop
accord,collectif,40,9.227372007,actor
responsable,traitement,40,9.227372007,drop
taxes,foncières,40,9.227372007,theme
application,taux,40,9.227372007,drop
article,précise,40,9.227372007,intention
efficacité,énergétique,40,9.227372007,theme
république,numérique,40,9.227372007,theme
intérêt,retard,40,9.227372007,drop
commande,publique,40,9.227372007,drop
répartition,valeur,40,9.227372007,drop
texte,loi,40,9.227372007,drop
amendement,vient,40,9.227372007,drop
territoriales,établissements,40,9.227372007,drop
président,epci,40,9.227372007,actor
espaces,publics,40,9.227372007,theme
repas,servis,40,9.227372007,drop
contrats,professionnalisation,40,9.227372007,theme
notamment,matière,40,9.227372007,drop
propose,également,40,9.227372007,drop
produit,taxe,40,9.227372007,drop
euros,recettes,40,9.227372007,drop
avis,commission,40,9.227372007,actor
accès,internet,40,9.227372007,theme
organisations,professionnelles,40,9.227372007,actor
professionnelle,apprentissage,40,9.227372007,theme
personnes,concernées,40,9.227372007,drop
budget,état,40,9.227372007,actor
membres,gouvernement,40,9.227372007,actor
réalisation,opérations,40,9.227372007,drop
république,française,40,9.227372007,actor
miels,originaires,40,9.227372007,theme
vertu,article,40,9.227372007,drop
relations,public,40,9.227372007,drop
regroupement,familial,40,9.227372007,theme
mesure,permet,40,9.227372007,drop
produits,locaux,40,9.227372007,theme
fiscale,abusive,40,9.227372007,drop
préservation,environnement,40,9.227372007,theme
budget,général,39,9.252689815,drop
droit,union,39,9.252689815,drop
exerçant,activités,39,9.252689815,drop
autorités,publiques,39,9.252689815,drop
groupe,public,39,9.252689815,drop
vise,éviter,39,9.252689815,intention
voie,réglementaire,39,9.252689815,drop
gestion,logements,39,9.252689815,theme
programmation,pluriannuelle,39,9.252689815,drop
dispositif,actuel,39,9.252689815,drop
harcèlement,moral,39,9.252689815,theme
ouverture,concurrence,39,9.252689815,theme
projets,loi,39,9.252689815,drop
nombre,logements,39,9.252689815,theme
dispositions,transitoires,39,9.252689815,actor
faire,sorte,39,9.252689815,drop
autorité,académique,39,9.252689815,actor
zone,attente,39,9.252689815,drop
compter,date,39,9.252689815,drop
propose,étendre,39,9.252689815,intention
sanctions,prévues,39,9.252689815,drop
impôts,cgi,39,9.252689815,drop
dc,juillet,39,9.252689815,drop
propose,suppression,39,9.252689815,intention
vise,exclure,39,9.252689815,intention
propose,mettre,39,9.252689815,drop
voie,électronique,39,9.252689815,drop
chambres,agriculture,39,9.252689815,actor
recherche,exploitation,39,9.252689815,theme
date,limite,39,9.252689815,drop
alinéas,article,39,9.252689815,drop
modifié,article,39,9.252689815,intention
nouvelle,gauche,39,9.252689815,actor
contrats,apprentissage,39,9.252689815,theme
définie,article,39,9.252689815,drop
conditions,mise,39,9.252689815,drop
politique,logement,39,9.252689815,theme
société,anonyme,39,9.252689815,drop
prix,achat,39,9.252689815,drop
long,vie,39,9.252689815,drop
collaborateurs,parlementaires,39,9.252689815,theme
grandes,surfaces,39,9.252689815,theme
autoconsommation,électricité,39,9.252689815,theme
secteur,bâtiment,39,9.252689815,theme
indication,pays,38,9.278665301,drop
ailleurs,amendement,38,9.278665301,drop
bonne,application,38,9.278665301,drop
objet,évaluation,38,9.278665301,drop
centre,formation,38,9.278665301,drop
sociétés,économie,38,9.278665301,drop
activité,agricole,38,9.278665301,theme
transports,commun,38,9.278665301,theme
zone,montagne,38,9.278665301,theme
préciser,modalités,38,9.278665301,drop
cohésion,sociale,38,9.278665301,theme
liberté,choisir,38,9.278665301,drop
résidences,secondaires,38,9.278665301,theme
contribution,formation,38,9.278665301,drop
lutte,violences,38,9.278665301,drop
avis,favorable,38,9.278665301,drop
égalité,chances,38,9.278665301,drop
temps,partiel,38,9.278665301,theme
tiers,payant,38,9.278665301,theme
création,gou,38,9.278665301,drop
principe,libre,38,9.278665301,drop
examen,projet,38,9.278665301,drop
nécessaire,prévoir,38,9.278665301,drop
télédéclarer,revenus,38,9.278665301,drop
énergétiques,ticpe,38,9.278665301,drop
environnement,santé,38,9.278665301,theme
juge,référés,38,9.278665301,actor
ministère,intérieur,38,9.278665301,actor
ordonnance,protection,38,9.278665301,drop
activités,agricoles,38,9.278665301,theme
sénat,lecture,38,9.278665301,drop
évaluation,impact,38,9.278665301,support
logement,personnes,38,9.278665301,drop
sociétés,coordination,38,9.278665301,drop
nombre,personnes,38,9.278665301,drop
rupture,contrat,38,9.278665301,drop
adoptée,sénat,38,9.278665301,drop
remet,cause,38,9.278665301,drop
mètres,carrés,38,9.278665301,drop
surfaces,commerciales,38,9.278665301,drop
nouvelles,technologies,38,9.278665301,drop
thermique,parois,38,9.278665301,theme
maintien,emploi,38,9.278665301,theme
rapport,gouvernement,38,9.278665301,intention
modification,article,37,9.305333548,drop
information,consommateurs,37,9.305333548,theme
produits,bio,37,9.305333548,theme
loi,juin,37,9.305333548,drop
décision,conseil,37,9.305333548,drop
ailleurs,déjà,37,9.305333548,drop
gouvernement,faire,37,9.305333548,actor
semble,préférable,37,9.305333548,drop
article,objet,37,9.305333548,drop
loi,ordinaire,37,9.305333548,actor
aménagement,numérique,37,9.305333548,theme
accès,informations,37,9.305333548,drop
élargir,dispositif,37,9.305333548,drop
clause,renégociation,37,9.305333548,drop
prévues,loi,37,9.305333548,drop
actions,prévention,37,9.305333548,drop
tire,conséquences,37,9.305333548,drop
cours,année,37,9.305333548,drop
commission,attribution,37,9.305333548,drop
jouent,rôle,37,9.305333548,drop
conclusion,contrat,37,9.305333548,drop
dite,loi,37,9.305333548,drop
qualité,vie,37,9.305333548,theme
produits,biologiques,37,9.305333548,theme
mettre,disposition,37,9.305333548,drop
exercice,droit,37,9.305333548,drop
lutte,changement,37,9.305333548,theme
livre,procédures,37,9.305333548,drop
procédures,fiscales,37,9.305333548,theme
accompagnement,social,37,9.305333548,theme
fonds,chaleur,37,9.305333548,theme
sein,conseil,37,9.305333548,drop
régime,autorisation,37,9.305333548,drop
autorisation,exploitation,37,9.305333548,actor
modifications,apportées,37,9.305333548,drop
compléter,article,37,9.305333548,intention
sanctions,pénales,37,9.305333548,actor
portes,fenêtres,37,9.305333548,theme
intégrité,physique,37,9.305333548,drop
égalité,traitement,37,9.305333548,theme
schémas,régionaux,37,9.305333548,drop
accord,paris,37,9.305333548,theme
logements,individuels,37,9.305333548,theme
circonstances,aggravantes,36,9.332732522,
objectif,assurer,36,9.332732522,
générale,finances,36,9.332732522,
régies,article,36,9.332732522,drop
contrôle,évaluation,36,9.332732522,
revenir,rédaction,36,9.332732522,
délégation,droits,36,9.332732522,
société,française,36,9.332732522,
amendement,amendement,36,9.332732522,drop
avenir,agriculture,36,9.332732522,
syndicats,mixtes,36,9.332732522,
précédente,législature,36,9.332732522,
saine,durable,36,9.332732522,
compte,ensemble,36,9.332732522,
professionnelle,continue,36,9.332732522,
autrement,dit,36,9.332732522,
locatives,locaux,36,9.332732522,
cour,justice,36,9.332732522,
définis,article,36,9.332732522,drop
plafonds,ressources,36,9.332732522,
porteurs,projets,36,9.332732522,
dérogatoire,droit,36,9.332732522,
assurance,formation,36,9.332732522,
partir,janvier,36,9.332732522,
personnes,éloignées,36,9.332732522,
étendre,dispositif,36,9.332732522,
donne,lieu,36,9.332732522,
vise,limiter,36,9.332732522,intention
assurer,cohérence,36,9.332732522,
résidences,principales,36,9.332732522,
délai,supplémentaire,36,9.332732522,
contrat,location,36,9.332732522,
dotation,globale,36,9.332732522,
entreprises,françaises,36,9.332732522,
article,ceseda,36,9.332732522,drop
eaux,pluviales,36,9.332732522,
tard,décembre,36,9.332732522,
marges,produits,36,9.332732522,
secteur,activité,36,9.332732522,
charte,environnement,36,9.332732522,
définies,article,36,9.332732522,drop
fixées,décret,35,9.360903399,
créer,filiales,35,9.360903399,
aidants,familiaux,35,9.360903399,
rénovation,bâtiments,35,9.360903399,
droits,obligations,35,9.360903399,
jeunes,ans,35,9.360903399,
propose,rapport,35,9.360903399,intention
usage,habitation,35,9.360903399,
services,restauration,35,9.360903399,
zone,tendue,35,9.360903399,
amendement,vocation,35,9.360903399,drop
titres,séjour,35,9.360903399,
prise,décision,35,9.360903399,
travail,salariés,35,9.360903399,
accueil,demandeurs,35,9.360903399,
adoption,amendement,35,9.360903399,
mesure,éloignement,35,9.360903399,
principe,égalité,35,9.360903399,
réduit,tva,35,9.360903399,
propose,faire,35,9.360903399,drop
nationale,sécurité,35,9.360903399,
seule,année,35,9.360903399,
terres,agricoles,35,9.360903399,
autorité,publique,35,9.360903399,
revitalisation,rurale,35,9.360903399,
commissions,paritaires,35,9.360903399,theme
mettant,place,35,9.360903399,
chapitre,ii,35,9.360903399,
métropole,lyon,35,9.360903399,
accord,préfet,35,9.360903399,
exercice,compétences,35,9.360903399,
permettre,personnes,35,9.360903399,
justice,administrative,35,9.360903399,
matière,fiscale,35,9.360903399,
enjeu,majeur,35,9.360903399,
euros,déjà,35,9.360903399,
pris,charge,35,9.360903399,
vise,faciliter,35,9.360903399,intention
vise,simplifier,35,9.360903399,intention
quitter,territoire,35,9.360903399,
gouvernement,parlement,35,9.360903399,
rapport,annuel,35,9.360903399,intention
contribution,additionnelle,35,9.360903399,
dispositif,permettant,35,9.360903399,
rapport,évaluation,35,9.360903399,intention
transposition,directive,35,9.360903399,
dispositions,actuelles,35,9.360903399,
contribution,sociale,35,9.360903399,
cpf,transition,35,9.360903399,
vise,inciter,35,9.360903399,intention
moyens,humains,35,9.360903399,
séjour,irrégulier,35,9.360903399,
évasion,fiscale,35,9.360903399,
ensemble,parties,35,9.360903399,
mise,jour,35,9.360903399,
fracture,numérique,35,9.360903399,
état,étranger,35,9.360903399,
dépôt,demande,35,9.360903399,
compétences,eau,35,9.360903399,
montant,impôt,35,9.360903399,
promulgation,loi,35,9.360903399,
cohérence,rédactionnelle,35,9.360903399,
élection,présidentielle,35,9.360903399,
amendement,article,35,9.360903399,drop
portes,entrée,35,9.360903399,
faire,peser,34,9.389890936,
supprimer,mention,34,9.389890936,
tissu,économique,34,9.389890936,
amendement,clarification,34,9.389890936,intention
proposée,gouvernement,34,9.389890936,
alinéa,prévoit,34,9.389890936,
année,dernière,34,9.389890936,
réseau,public,34,9.389890936,
prévu,articles,34,9.389890936,drop
centres,hébergement,34,9.389890936,
égalité,femmes,34,9.389890936,
droit,interne,34,9.389890936,
obligations,matière,34,9.389890936,
secteur,logement,34,9.389890936,
publique,territoriale,34,9.389890936,
lois,finances,34,9.389890936,
décision,prise,34,9.389890936,
chiffre,affaire,34,9.389890936,
réduction,consommation,34,9.389890936,
supprimer,possibilité,34,9.389890936,
crise,logement,34,9.389890936,
mode,calcul,34,9.389890936,
action,formation,34,9.389890936,
mettre,conformité,34,9.389890936,
ans,ans,34,9.389890936,
apparait,nécessaire,34,9.389890936,
impact,financier,34,9.389890936,
vise,réduire,34,9.389890936,intention
aménagement,espaces,34,9.389890936,
fonds,assurance,34,9.389890936,
formation,chefs,34,9.389890936,
potentiel,fiscal,34,9.389890936,
directement,indirectement,34,9.389890936,
code,justice,34,9.389890936,support
loi,visant,34,9.389890936,
établissements,privés,34,9.389890936,
fibre,optique,34,9.389890936,
exercice,activité,34,9.389890936,
assurer,financement,34,9.389890936,
droit,logement,34,9.389890936,
débats,commission,34,9.389890936,
prélèvement,forfaitaire,34,9.389890936,
zone,c,34,9.389890936,
dotation,soutien,34,9.389890936,
groupe,nouvelle,34,9.389890936,
intérêts,fondamentaux,34,9.389890936,
euros,mois,34,9.389890936,
anciens,combattants,34,9.389890936,
aides,pierre,34,9.389890936,
cadre,vie,34,9.389890936,
société,coordination,34,9.389890936,
accéder,propriété,34,9.389890936,
presse,ligne,34,9.389890936,
dépenses,engagées,34,9.389890936,
titre,gratuit,34,9.389890936,
mesure,inscrit,34,9.389890936,
intérêt,supérieur,34,9.389890936,
qualité,produits,34,9.389890936,
mentionnée,article,33,9.419743899,drop
esprit,loi,33,9.419743899,
hauteur,millions,33,9.419743899,
propose,modifier,33,9.419743899,intention
vise,améliorer,33,9.419743899,intention
logements,hlm,33,9.419743899,
intérêt,collectif,33,9.419743899,
juillet,portant,33,9.419743899,
copropriétés,dégradées,33,9.419743899,
vise,proroger,33,9.419743899,intention
définition,légale,33,9.419743899,
notion,immobilisation,33,9.419743899,
fausse,information,33,9.419743899,
demandons,suppression,33,9.419743899,
stratégie,logement,33,9.419743899,
application,présent,33,9.419743899,
défense,nationale,33,9.419743899,
contrats,courts,33,9.419743899,
gouvernement,remettre,33,9.419743899,
gouvernement,prendre,33,9.419743899,
outil,aménagement,33,9.419743899,
administrations,publiques,33,9.419743899,
centrales,achat,33,9.419743899,
identification,qualité,33,9.419743899,
référence,supérieur,33,9.419743899,
zones,blanches,33,9.419743899,
valeur,constitutionnelle,33,9.419743899,
transport,routier,33,9.419743899,
amendement,conséquence,33,9.419743899,drop
confiance,action,33,9.419743899,
ans,compter,33,9.419743899,
passoires,thermiques,33,9.419743899,
conditions,matérielles,33,9.419743899,
conflit,intérêt,33,9.419743899,
produits,tabac,33,9.419743899,
connaissance,cause,33,9.419743899,
obligations,légales,33,9.419743899,
couverture,numérique,33,9.419743899,
parc,logements,33,9.419743899,
mise,service,33,9.419743899,
prévu,présent,33,9.419743899,
années,venir,33,9.419743899,
compétents,matière,33,9.419743899,
production,électricité,33,9.419743899,
approche,globale,33,9.419743899,
bloc,communal,33,9.419743899,
infractions,pénales,33,9.419743899,
demande,titre,33,9.419743899,
classes,moyennes,32,9.450515558,
collectivités,régies,32,9.450515558,
matière,protection,32,9.450515558,
amendement,introduit,32,9.450515558,intention
parlement,application,32,9.450515558,
pouvoir,réglementaire,32,9.450515558,
nationale,informatique,32,9.450515558,
concurrence,déloyale,32,9.450515558,
centres,commerciaux,32,9.450515558,
articles,suivants,32,9.450515558,drop
matière,construction,32,9.450515558,
action,groupe,32,9.450515558,
grandes,villes,32,9.450515558,
rédaction,adoptée,32,9.450515558,
demande,rapport,32,9.450515558,intention
sommes,dues,32,9.450515558,
proposé,modifier,32,9.450515558,
défense,sécurité,32,9.450515558,
saisir,juge,32,9.450515558,
cadre,législatif,32,9.450515558,
faire,référence,32,9.450515558,
nombre,important,32,9.450515558,
espaces,naturels,32,9.450515558,
produits,biocontrôle,32,9.450515558,
impôt,dépenses,32,9.450515558,
zones,urbaines,32,9.450515558,
physique,morale,32,9.450515558,
objectifs,poursuivis,32,9.450515558,
éviter,risque,32,9.450515558,
structurantes,matière,32,9.450515558,
voirie,aménagement,32,9.450515558,
publics,circulation,32,9.450515558,
circulation,piétonne,32,9.450515558,
piétonne,équipements,32,9.450515558,
équipements,scolaires,32,9.450515558,
scolaires,culturels,32,9.450515558,
culturels,sportifs,32,9.450515558,
président,établissement,32,9.450515558,
transfert,automatique,32,9.450515558,
délivrance,autorisation,32,9.450515558,
vise,augmenter,32,9.450515558,intention
offre,logements,32,9.450515558,
opération,revitalisation,32,9.450515558,
sécurité,personnes,32,9.450515558,
vise,encadrer,32,9.450515558,intention
convient,également,32,9.450515558,
présenté,gouvernement,32,9.450515558,
alinéa,présent,32,9.450515558,
renouvellement,urbain,32,9.450515558,
conflits,intérêts,32,9.450515558,
banque,france,32,9.450515558,
modalités,calcul,32,9.450515558,
obligatoire,inéligibilité,32,9.450515558,
mise,application,32,9.450515558,
office,français,32,9.450515558,
crédits,paiement,32,9.450515558,
meilleure,prise,32,9.450515558,
membres,conseil,32,9.450515558,
ressources,fiscales,32,9.450515558,
créé,article,32,9.450515558,drop
faire,appel,32,9.450515558,
mineurs,ans,32,9.450515558,
mis,marché,32,9.450515558,
article,proposé,32,9.450515558,drop
préciser,conditions,32,9.450515558,
délai,court,32,9.450515558,
taux,chômage,32,9.450515558,
investissement,local,32,9.450515558,
régime,assurance,32,9.450515558,
partis,politiques,32,9.450515558,
rurales,montagne,32,9.450515558,
amélioration,qualité,32,9.450515558,
composition,repas,32,9.450515558,
vente,hlm,32,9.450515558,
examen,demande,32,9.450515558,
vitrées,volets,32,9.450515558,
délai,recours,32,9.450515558,
partenaire,lié,32,9.450515558,
supprimer,disposition,32,9.450515558,
départements,mer,32,9.450515558,
périodes,professionnalisation,32,9.450515558,
marchand,sommeil,32,9.450515558,
droit,recours,32,9.450515558,
article,b,31,9.482264256,drop
mieux,encadrer,31,9.482264256,
correction,erreur,31,9.482264256,
ouvrir,possibilité,31,9.482264256,
gestionnaires,réseaux,31,9.482264256,
aide,sociale,31,9.482264256,
gouvernement,présenter,31,9.482264256,
confier,rôle,31,9.482264256,
rapport,groupe,31,9.482264256,drop
droit,national,31,9.482264256,
loi,portant,31,9.482264256,
sncf,mobilités,31,9.482264256,
industriel,commercial,31,9.482264256,
européenne,droits,31,9.482264256,
collective,publique,31,9.482264256,
permettre,prise,31,9.482264256,
éducation,santé,31,9.482264256,
investissement,locatif,31,9.482264256,
situées,zones,31,9.482264256,
consommation,énergétique,31,9.482264256,
choisir,avenir,31,9.482264256,
centaines,milliers,31,9.482264256,
menace,grave,31,9.482264256,
